"filename", "language", "Markdown", "Ini", "Swift", "JSON with Comments", "C++", "YAML", "CMake", "XML", "JSON", "Dart", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\README.md", "Markdown", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -17
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, -22, -4, -29
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -4, -1, -8
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -40, 0, 0, 0, 0, -11, -3, -54
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, -7, -2, -13
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, -7, -2, -13
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, -9, -1, -19
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, 0, -9, -1, -19
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, -4, -1, -8
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\android\build\reports\problems\problems-report.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -548, 0, -2, -114, -664
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, -1, -6
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\assets\icon\desktop.ini", "Ini", 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -3
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\devtools_options.yaml", "YAML", 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -1, -4
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4, -13
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\ios\Runner\AppDelegate.swift", "Swift", 0, 0, -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -14
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, 0, -1, -24
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -5
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, -36, 0, 0, 0, 0, -1, -1, -38
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, -25, 0, 0, 0, 0, -1, -1, -27
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\ispgaya_ant.code-workspace", "JSON with Comments", 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\l10n.yaml", "YAML", 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\l10n\app_en.arb", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, -32
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\l10n\app_localizations.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -81, 0, 0, -168, -42, -291
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\l10n\app_localizations_en.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -62, 0, 0, -3, -29, -94
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\l10n\app_localizations_pt.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -61, 0, 0, -3, -29, -93
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\l10n\app_pt.arb", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -32, 0, 0, 0, 0, 0, -32
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\l10n\l10n.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, -2, -8
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -48, 0, 0, -1, -5, -54
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\models\generalvalues.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, -3, -5
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\models\localenotifer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, 0, -4, -13
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\visuals\dialogs\circularloading.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -28, 0, 0, 0, -5, -33
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\visuals\dialogs\normalalert.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -23, 0, 0, 0, -5, -28
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\visuals\pages\menupage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -191, 0, 0, -7, -27, -225
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\visuals\pages\splashscreen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -52, 0, 0, 0, -10, -62
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\visuals\smallwidgets\antactionbutton.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -53, 0, 0, -1, -10, -64
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\visuals\smallwidgets\antbodycontrols.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -121, 0, 0, -1, -14, -136
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\visuals\smallwidgets\bottomsheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, -4, -20
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\visuals\smallwidgets\dPad.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -169, 0, 0, -2, -32, -203
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\visuals\smallwidgets\devicelistitem.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, 0, -5, -22
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\visuals\widgets\antmovingcontrols.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, -2, -10, -86
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\visuals\widgets\bluetoothmenu.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -78, 0, 0, 0, -3, -81
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\lib\visuals\widgets\bluetoothmodule.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -110, 0, 0, -6, -26, -142
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, -104, 0, 0, 0, 0, 0, 0, -25, -129
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, -79, 0, 0, 0, 0, 0, 0, -10, -89
"c:\Users\matia\Documents\ISPGAYA\ispgaya_ant\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, -4, -5, -12
