Date : 2025-07-11 14:32:02
Directory : c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant
Total : 82 files,  4213 codes, 648 comments, 878 blanks, all 5739 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Dart               |         23 |      1,768 |        372 |        406 |      2,546 |
| HTML               |          2 |        567 |         17 |        119 |        703 |
| C++                |         16 |        543 |        131 |        189 |        863 |
| XML                |         10 |        476 |         53 |         14 |        543 |
| CMake              |          8 |        462 |          0 |         92 |        554 |
| JSON               |          7 |        259 |          0 |          4 |        263 |
| Swift              |          6 |         55 |          7 |         21 |         83 |
| YAML               |          4 |         52 |         68 |         21 |        141 |
| Markdown           |          2 |         13 |          0 |          9 |         22 |
| JSON with Comments |          1 |          8 |          0 |          0 |          8 |
| Properties         |          2 |          8 |          0 |          2 |         10 |
| Ini                |          1 |          2 |          0 |          1 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                              |         82 |      4,213 |        648 |        878 |      5,739 |
| . (Files)                                                                                                      |          6 |         70 |         68 |         28 |        166 |
| android                                                                                                        |         10 |        628 |         53 |        127 |        808 |
| android (Files)                                                                                                |          1 |          3 |          0 |          1 |          4 |
| android\app                                                                                                    |          7 |         72 |         51 |         11 |        134 |
| android\app\src                                                                                                |          7 |         72 |         51 |         11 |        134 |
| android\app\src\debug                                                                                          |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                           |          5 |         66 |         43 |          9 |        118 |
| android\app\src\main (Files)                                                                                   |          1 |         40 |         11 |          3 |         54 |
| android\app\src\main\res                                                                                       |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                              |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                          |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                          |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                        |          1 |          3 |          4 |          1 |          8 |
| android\build                                                                                                  |          1 |        548 |          2 |        114 |        664 |
| android\build\reports                                                                                          |          1 |        548 |          2 |        114 |        664 |
| android\build\reports\problems                                                                                 |          1 |        548 |          2 |        114 |        664 |
| android\gradle                                                                                                 |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                         |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                         |          1 |          2 |          0 |          1 |          3 |
| assets\icon                                                                                                    |          1 |          2 |          0 |          1 |          3 |
| ios                                                                                                            |          8 |        108 |          4 |         12 |        124 |
| ios\Runner                                                                                                     |          7 |        101 |          2 |          8 |        111 |
| ios\Runner (Files)                                                                                             |          2 |         13 |          0 |          3 |         16 |
